postcode6,buurtcode,buurtnaam
1012KX,BU0363AD07,Begijnhofbuurt
1012KZ,BU0363AD07,Begijnhofbuurt
1012LA,BU0363AD07,Begijnhofbuurt
1012LB,BU0363AD08,Kalverdriehoek
1012LC,BU0363AD08,Kalverdriehoek
1012LD,BU0363AD08,Kalverdriehoek
1012LE,BU0363AD08,Kalverdriehoek
1012LG,BU0363AD03,Nieuwendijk-Noord
1012LH,BU0363AD03,Nieuwendijk-Noord
1012LJ,BU0363AD03,Nieuwendijk-Noord
1012LK,BU0363AD03,Nieuwendijk-Noord
1012LL,BU0363AD05,Nieuwe Kerk e.o.
1012LM,BU0363AD05,Nieuwe Kerk e.o.
1012LN,BU0363AD05,Nieuwe Kerk e.o.
1012LP,BU0363AD05,Nieuwe Kerk e.o.
1012LR,BU0363AD03,Nieuwendijk-Noord
1012LS,BU0363AD03,Nieuwendijk-Noord
1012LT,BU0363AD05,Nieuwe Kerk e.o.
1012LV,BU0363AD05,Nieuwe Kerk e.o.
1012LW,BU0363AD05,Nieuwe Kerk e.o.
1012LX,BU0363AD05,Nieuwe Kerk e.o.
1012LZ,BU0363AD02,Hemelrijk
1012MA,BU0363AD02,Hemelrijk
1012MB,BU0363AD03,Nieuwendijk-Noord
1012MC,BU0363AD03,Nieuwendijk-Noord
1012MD,BU0363AD03,Nieuwendijk-Noord
1012ME,BU0363AD05,Nieuwe Kerk e.o.
1012MG,BU0363AD05,Nieuwe Kerk e.o.
1012MH,BU0363AD05,Nieuwe Kerk e.o.
1012MJ,BU0363AD03,Nieuwendijk-Noord
1012MK,BU0363AD02,Hemelrijk
1012ML,BU0363AD02,Hemelrijk
1012MN,BU0363AD02,Hemelrijk
1012MP,BU0363AD03,Nieuwendijk-Noord
1012MR,BU0363AD03,Nieuwendijk-Noord
1012MS,BU0363AD05,Nieuwe Kerk e.o.
1012MT,BU0363AD05,Nieuwe Kerk e.o.
1012MV,BU0363AD05,Nieuwe Kerk e.o.
1012MX,BU0363AD05,Nieuwe Kerk e.o.
1012MZ,BU0363AD02,Hemelrijk
1012NA,BU0363AD02,Hemelrijk
1012NB,BU0363AD03,Nieuwendijk-Noord
1012NC,BU0363AD03,Nieuwendijk-Noord
1012ND,BU0363AD03,Nieuwendijk-Noord
1012NE,BU0363AD05,Nieuwe Kerk e.o.
1012NG,BU0363AD05,Nieuwe Kerk e.o.
1012NH,BU0363AD05,Nieuwe Kerk e.o.
1012NJ,BU0363AD05,Nieuwe Kerk e.o.
1012NK,BU0363AD05,Nieuwe Kerk e.o.
1012NL,BU0363AD05,Nieuwe Kerk e.o.
1012NM,BU0363AD05,Nieuwe Kerk e.o.
1012NN,BU0363AD05,Nieuwe Kerk e.o.
1012NP,BU0363AD05,Nieuwe Kerk e.o.
1012NR,BU0363AD07,Begijnhofbuurt
1012NS,BU0363AD07,Begijnhofbuurt
1012NT,BU0363AD07,Begijnhofbuurt
1012NV,BU0363AD07,Begijnhofbuurt
1012NW,BU0363AD07,Begijnhofbuurt
1012NX,BU0363AD07,Begijnhofbuurt
1012NZ,BU0363AD07,Begijnhofbuurt
1012PA,BU0363AD07,Begijnhofbuurt
1012PB,BU0363AD07,Begijnhofbuurt
1012PC,BU0363AD07,Begijnhofbuurt
1012PD,BU0363AD07,Begijnhofbuurt
1012PE,BU0363AD07,Begijnhofbuurt
1012PG,BU0363AD07,Begijnhofbuurt
1012PH,BU0363AD07,Begijnhofbuurt
1012PJ,BU0363AD07,Begijnhofbuurt
1012PK,BU0363AD07,Begijnhofbuurt
1012PL,BU0363AD07,Begijnhofbuurt
1012PM,BU0363AD07,Begijnhofbuurt
1012PN,BU0363AD07,Begijnhofbuurt
1012PP,BU0363AD07,Begijnhofbuurt
1012PR,BU0363AD07,Begijnhofbuurt
1012PS,BU0363AD03,Nieuwendijk-Noord
1012PT,BU0363AD03,Nieuwendijk-Noord
1012PV,BU0363AD05,Nieuwe Kerk e.o.
1012PW,BU0363AD05,Nieuwe Kerk e.o.
1012PX,BU0363AD05,Nieuwe Kerk e.o.
1012PZ,BU0363AD05,Nieuwe Kerk e.o.
1012RA,BU0363AE01,Kop Zeedijk
1012RB,BU0363AD07,Begijnhofbuurt
1012RC,BU0363AD03,Nieuwendijk-Noord
1012RD,BU0363AD03,Nieuwendijk-Noord
1012RE,BU0363AD05,Nieuwe Kerk e.o.
1012RG,BU0363AD05,Nieuwe Kerk e.o.
1012RH,BU0363AD05,Nieuwe Kerk e.o.
1012RJ,BU0363AD05,Nieuwe Kerk e.o.
1012RK,BU0363AD07,Begijnhofbuurt
1012RL,BU0363AD07,Begijnhofbuurt
1012RM,BU0363AD07,Begijnhofbuurt
1012RN,BU0363AD06,Spuistraat-Zuid
1012RP,BU0363AD06,Spuistraat-Zuid
1012RR,BU0363AD06,Spuistraat-Zuid
1012RS,BU0363AD06,Spuistraat-Zuid
1012RT,BU0363AD06,Spuistraat-Zuid
1012RV,BU0363AD06,Spuistraat-Zuid
1012RW,BU0363AD06,Spuistraat-Zuid
1012RX,BU0363AD06,Spuistraat-Zuid
1012RZ,BU0363AD02,Hemelrijk
1012SB,BU0363AD02,Hemelrijk
1012SC,BU0363AD04,Spuistraat-Noord
1012SE,BU0363AD04,Spuistraat-Noord
1012SG,BU0363AD04,Spuistraat-Noord
1012SH,BU0363AD04,Spuistraat-Noord
1012SJ,BU0363AD04,Spuistraat-Noord
1012SK,BU0363AD04,Spuistraat-Noord
1012SL,BU0363AD04,Spuistraat-Noord
1012SM,BU0363AD04,Spuistraat-Noord
1012SN,BU0363AD02,Hemelrijk
1012SP,BU0363AD02,Hemelrijk
1012SR,BU0363AD04,Spuistraat-Noord
1012ST,BU0363AD04,Spuistraat-Noord
1012SV,BU0363AD04,Spuistraat-Noord
1012SW,BU0363AD02,Hemelrijk
1012SX,BU0363AD02,Hemelrijk
